Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
美国,35419000000,58471000000,57736000000,68250000000,48490000000,23180000000,19810000000,51380000000,46130000000,57800000000,86520000000,1.0559E+11,1.7903E+11,2.89443E+11,3.50066E+11,1.71471E+11,1.09466E+11,1.17106E+11,2.13641E+11,1.42344E+11
东亚与太平洋地区,12394219137,15818474722,21078250399,22425223562,29807929801,27585828015,35592282554,51949453201,64710817858,81052985804,81172485151,94780186363,96055394383,1.20588E+11,1.74568E+11,1.27418E+11,1.12949E+11,1.26644E+11,1.98737E+11,1.87813E+11
