Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
中国,2.43703E+11,2.80072E+11,2.41214E+11,2.90928E+11,2.68097E+11,2.42489E+11,1.7475E+11,1.66084E+11,2.03492E+11
美国,2.64039E+11,2.63497E+11,2.50345E+11,2.88131E+11,351856000000,5.09087E+11,4.94439E+11,3.54649E+11,2.5839E+11
