Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
美国,2.563766558,1.550835506,2.249545852,1.84208107,2.451973036,2.880910466,1.56721517,2.21701033,2.856987816
中国,10.63614046,9.55091409,7.859627493,7.768615284,7.299518921,6.90531667,6.736675253,6.757007611,6.6
